Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
F08G2.4; -4.6847643204,Y42H9B.3; 0.135227789991,C49C3.7; 0.322408185386
F08G5.1; -0.348801097824,Y43F8C.8; -0.183545800293,C49F5.3; 1.83609840204
F09A5.4; -0.810569732294,Y45G5AM.9; -0.0814462720875,C49H3.3; 0.4964451206
F09E5.11; -0.464142422115,Y47G6A.4; 0.193070293892,C49H3.9; 0.684878947441
F09E5.7; -0.666988906085,Y47H9C.7; 0.140826346524,C50B8.1; 1.61180635157
F09G2.9; -0.333424400455,Y49F6B.9; 0.162420187723,C50C3.1; 1.22722808752
F10C2.4; -2.1404797925,Y4C6B.1; -0.0207153132771,C50D2.5; 1.49786621279
F10E7.6; -0.914685196633,Y51H4A.15; -0.183160158157,C50F2.2; 0.929822504967
F10E9.3; -1.20459716249,Y53C10A.6; -0.0314573989273,C50F4.16; 1.53313530364
F10E9.4; -1.53544518548,Y53C12B.1; 0.00644662869337,C50F4.6; 0.946656864768
F10E9.5; -0.262644880617,Y53C12B.2; 0.00025464579515,C52B9.4; 0.802653779212
F10E9.7; -2.76119488378,Y54F10AR.2; -0.0912040430055,C53B4.4; 0.435554670524
F10G2.4; -2.00571332104,Y54G2A.23; 0.189194218757,C53D6.4; 0.946707096063
F11A10.7; -2.0766237629,Y54G9A.5; 0.133621515679,C55A6.1; 0.876012942895
F11E6.7; -1.06497906497,Y55F3AM.9; 0.0306133039967,C55A6.9; 0.803818049167
F12E12.1; -3.19374180817,Y57A10A.25; -0.155008449674,C56A3.8; 0.678806150141
F13B12.1; -2.04169418139,Y62E10A.2; -0.140349599809,C56C10.7; 1.40735173186
F13G3.6; -4.35078783168,Y63D3A.7; -0.19974298439,CD4.7; 0.457425425388
F13G3.7; -0.880794978529,Y66D12A.21; -0.165098115091,D1007.10; 0.673123449471
F13H10.3; -0.311768889683,Y69A2AR.3; 0.0180604359857,D1014.4; 0.665177054682
F13H10.4; -2.17610123414,Y71H2AM.5; 0.126955267496,D1044.6; 0.924579862967
